key,author,comment,hashtags,mentions
https://www.instagram.com/p/B9b_YbRn7Xs/,abcnews,"'Firenado' forms from controlled agriculture burn

UP IN SMOKE: Video captures a controlled fire whirling into the sky during an agricultural burn on Oklahoma. https://abcn.ws/2wClop0",,
https://www.instagram.com/p/B9b_YbRn7Xs/,rasta_ron_,"""Controlled!!!""",,
https://www.instagram.com/p/B9b_YbRn7Xs/,cherirouse,That’s controlled?,,
https://www.instagram.com/p/B9b_YbRn7Xs/,jr_dlr34,"It's actually called a ""Fire Whirl"" just fyi..",,
https://www.instagram.com/p/B9b_YbRn7Xs/,jnsnf,Please help Jesus! 😮,,
https://www.instagram.com/p/B9b_YbRn7Xs/,_cary20,Spectacular🔥👌🏾,,
https://www.instagram.com/p/B9b_YbRn7Xs/,karen.faison.14,That looks crazy... Never heard of this before... Wow amazing,,
https://www.instagram.com/p/B9b_YbRn7Xs/,nectar_cane,Oklahoma seemingly can’t stop producing tornados for a day,,
https://www.instagram.com/p/B9b_YbRn7Xs/,peterparkerkurt,That's strange... 😱😱,,
https://www.instagram.com/p/B9b_YbRn7Xs/,godloveishearts,This world might disrepair one day but my heart will always stay strong for jesus until I die in 2020,,
https://www.instagram.com/p/B9b_YbRn7Xs/,fresno584,Only in Oklahoma..,,
https://www.instagram.com/p/B9b_YbRn7Xs/,anteamykescalante,😥,,
https://www.instagram.com/p/B9b_YbRn7Xs/,godloveishearts,Jesus is all I need in life,,
https://www.instagram.com/p/B9a1fZ7DwmE/,abcnews,"How the outbreak began

Researchers first identified the mystery illness in late December in Wuhan, China. From there, the virus spread all in a matter of weeks. Bob Woodruff and Ian Pannell have been covering the story in China from the beginning. #ABC2020 https://abcn.ws/2VPUKU7",['ABC2020'],
https://www.instagram.com/p/B9a1fZ7DwmE/,spdreambig,Am I the only one trippen off the doctor passing away after getting the virus x that reporter disappearing 😧 like that lil two minute part of this video is crazy!,,
https://www.instagram.com/p/B9a1fZ7DwmE/,badd_ass_pooki3,They killed that doctor,,
https://www.instagram.com/p/B9a1fZ7DwmE/,sosa_777x,The Chinese government should be held responsible and foot some of the cost for treatment and sanitizing. Tax payers of other countries are paying the price when it is the Chinese government fault.,,
https://www.instagram.com/p/B9a1fZ7DwmE/,commplanner,Feels like I'm watching the preview for a new Walking Dead spin off. This is surreal that this is real and happening.,,
https://www.instagram.com/p/B9a1fZ7DwmE/,mandysosweet,"This was either the Chinese govt plot to stop the protests, or they know they have the vaccine and just waiting to sell it to the world govts top dollar or maybe I’m just going off because this is utter BS",,
https://www.instagram.com/p/B9a1fZ7DwmE/,fresousa,"I have never heard about Wuhan ""Chicago of China"" before... until the Coronavirus",,
https://www.instagram.com/p/B9a1fZ7DwmE/,saxonray67,"Coronavirus: Nurse with symptoms hits out at CDC for refusing to test her
Anonymous letter distributed by union describes multiple pretexts given for not testing healthcare worker
14 hours ago 
A California nurse who complained of symptoms consistent with coronavirus has hit out at the Centres for Disease Control (CDC) for allegedly failing to test them and other nurses.
In an anonymous letter distributed by National Nurses United, the nurse describes how after volunteering to be on the care team for a patient who had tested positive for the virus, they themselves started to develop symptoms.
After being put on a 14-day self-quarantine, their doctor ordered a coronavirus test. 
However, they allege, the CDC then refused to initiate testing on the basis that “if I were wearing the recommended protective equipment, then I wouldn’t have the coronavirus.
“What kind of science-based answer is that? What a ridiculous and uneducated response from the department that is in charge of our health in this country.”
So many stories of this happening!!From Medical field workers and citizens..",,
https://www.instagram.com/p/B9a1fZ7DwmE/,mcdyver1,AND WHO'S LABORATORY DID IT COME FROM?,,
https://www.instagram.com/p/B9a1fZ7DwmE/,bern_77,"And maybe time to stop eating all kinds of wierd insects, bats, dogs etc. This should have been stopped ages ago! Something is just not right, but anything is possible when COMMUNISM takes over!",,
