,key,author,comment,hashtags,mentions,processed_comments_without_microtext
0,https://www.instagram.com/p/B9b_YbRn7Xs/,abcnews,"'Firenado' forms from controlled agriculture burn

UP IN SMOKE: Video captures a controlled fire whirling into the sky during an agricultural burn on Oklahoma. https://abcn.ws/2wClop0",,,firenado form control agriculture burn smoke video capture control fire whirl sky agricultural burn oklahoma httpsabcnws 2wclop0
1,https://www.instagram.com/p/B9b_YbRn7Xs/,rasta_ron_,"""Controlled!!!""",,,control
2,https://www.instagram.com/p/B9b_YbRn7Xs/,cherirouse,That’s controlled?,,,’ control
3,https://www.instagram.com/p/B9b_YbRn7Xs/,jr_dlr34,"It's actually called a ""Fire Whirl"" just fyi..",,,actually call fire whirl fyi
4,https://www.instagram.com/p/B9b_YbRn7Xs/,jnsnf,Please help Jesus! 😮,,,please help jesus 😮
5,https://www.instagram.com/p/B9b_YbRn7Xs/,_cary20,Spectacular🔥👌🏾,,,spectacular 🔥 👌 🏾
6,https://www.instagram.com/p/B9b_YbRn7Xs/,karen.faison.14,That looks crazy... Never heard of this before... Wow amazing,,,look crazy never hear wow amaze
7,https://www.instagram.com/p/B9b_YbRn7Xs/,nectar_cane,Oklahoma seemingly can’t stop producing tornados for a day,,,oklahoma seemingly ’ stop produce tornados day
8,https://www.instagram.com/p/B9b_YbRn7Xs/,peterparkerkurt,That's strange... 😱😱,,,thats strange 😱 😱
9,https://www.instagram.com/p/B9b_YbRn7Xs/,godloveishearts,This world might disrepair one day but my heart will always stay strong for jesus until I die in 2020,,,world might disrepair one day heart always stay strong jesus die two thousand twenty
10,https://www.instagram.com/p/B9b_YbRn7Xs/,fresno584,Only in Oklahoma..,,,oklahoma
11,https://www.instagram.com/p/B9b_YbRn7Xs/,anteamykescalante,😥,,,😥
12,https://www.instagram.com/p/B9b_YbRn7Xs/,godloveishearts,Jesus is all I need in life,,,jesus need life
13,https://www.instagram.com/p/B9a1fZ7DwmE/,abcnews,"How the outbreak began

Researchers first identified the mystery illness in late December in Wuhan, China. From there, the virus spread all in a matter of weeks. Bob Woodruff and Ian Pannell have been covering the story in China from the beginning. #ABC2020 https://abcn.ws/2VPUKU7",['ABC2020'],,outbreak begin researchers first identify mystery illness late december wuhan china virus spread matter weeks bob woodruff ian pannell cover story china begin abc 2020 httpsabcnws 2vpuku7
14,https://www.instagram.com/p/B9a1fZ7DwmE/,spdreambig,Am I the only one trippen off the doctor passing away after getting the virus x that reporter disappearing 😧 like that lil two minute part of this video is crazy!,,,one trippen doctor pass away get virus x reporter disappear 😧 like lil two minute part video crazy
15,https://www.instagram.com/p/B9a1fZ7DwmE/,badd_ass_pooki3,They killed that doctor,,,kill doctor
16,https://www.instagram.com/p/B9a1fZ7DwmE/,sosa_777x,The Chinese government should be held responsible and foot some of the cost for treatment and sanitizing. Tax payers of other countries are paying the price when it is the Chinese government fault.,,,chinese government hold responsible foot cost treatment sanitize tax payers countries pay price chinese government fault
17,https://www.instagram.com/p/B9a1fZ7DwmE/,commplanner,Feels like I'm watching the preview for a new Walking Dead spin off. This is surreal that this is real and happening.,,,feel like im watch preview new walk dead spin surreal real happen
18,https://www.instagram.com/p/B9a1fZ7DwmE/,mandysosweet,"This was either the Chinese govt plot to stop the protests, or they know they have the vaccine and just waiting to sell it to the world govts top dollar or maybe I’m just going off because this is utter BS",,,either chinese govt plot stop protest know vaccine wait sell world govts top dollar maybe ’ go utter bs
19,https://www.instagram.com/p/B9a1fZ7DwmE/,fresousa,"I have never heard about Wuhan ""Chicago of China"" before... until the Coronavirus",,,never hear wuhan chicago china coronavirus
20,https://www.instagram.com/p/B9a1fZ7DwmE/,saxonray67,"Coronavirus: Nurse with symptoms hits out at CDC for refusing to test her
Anonymous letter distributed by union describes multiple pretexts given for not testing healthcare worker
14 hours ago 
A California nurse who complained of symptoms consistent with coronavirus has hit out at the Centres for Disease Control (CDC) for allegedly failing to test them and other nurses.
In an anonymous letter distributed by National Nurses United, the nurse describes how after volunteering to be on the care team for a patient who had tested positive for the virus, they themselves started to develop symptoms.
After being put on a 14-day self-quarantine, their doctor ordered a coronavirus test. 
However, they allege, the CDC then refused to initiate testing on the basis that “if I were wearing the recommended protective equipment, then I wouldn’t have the coronavirus.
“What kind of science-based answer is that? What a ridiculous and uneducated response from the department that is in charge of our health in this country.”
So many stories of this happening!!From Medical field workers and citizens..",,,coronavirus nurse symptoms hit cdc refuse test anonymous letter distribute union describe multiple pretexts give test healthcare worker fourteen hours ago california nurse complain symptoms consistent coronavirus hit centre disease control cdc allegedly fail test nurse anonymous letter distribute national nurse unite nurse describe volunteer care team patient test positive virus start develop symptoms put 14day selfquarantine doctor order coronavirus test however allege cdc refuse initiate test basis “ wear recommend protective equipment ’ coronavirus “ kind sciencebased answer ridiculous uneducated response department charge health country ” many stories happeningfrom medical field workers citizens
21,https://www.instagram.com/p/B9a1fZ7DwmE/,mcdyver1,AND WHO'S LABORATORY DID IT COME FROM?,,,whos laboratory come
